Origen,Destino,Paradas
Heroes,Calle 85,Heroes-Calle 85
Heroes,Virrey,Heroes-Calle 85-Virrey
Heroes,Calle 100,Heroes-Calle 85-Virrey-Calle 100
Heroes,Calle 106,Heroes-Calle 85-Virrey-Calle 100-Calle 106
Heroes,Pepe Sierra,Heroes-Calle 85-Virrey-Calle 100-Calle 106-Pepe Sierra
Heroes,Calle 127,Heroes-Calle 85-Virrey-Calle 100-Calle 106-Pepe Sierra-Calle 127
Heroes,Prado,Heroes-Calle 85-Virrey-Calle 100-Calle 106-Pepe Sierra-Calle 127-Prado
Heroes,Alcala,Heroes-Calle 85-Virrey-Calle 100-Calle 106-Pepe Sierra-Calle 127-Prado-Alcala
Heroes,Calle 142,Heroes-Calle 85-Virrey-Calle 100-Calle 106-Pepe Sierra-Calle 127-Prado-Alcala-Calle 142
Heroes,Calle 146,Heroes-Calle 85-Virrey-Calle 100-Calle 106-Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146
Heroes,Mazuren,Heroes-Calle 85-Virrey-Calle 100-Calle 106-Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren
Heroes,Toberin,Heroes-Calle 85-Virrey-Calle 100-Calle 106-Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin
Heroes,Portal del Norte,Heroes-Calle 85-Virrey-Calle 100-Calle 106-Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte
Heroes,Calle 187,Heroes-Calle 85-Virrey-Calle 100-Calle 106-Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte-Calle 187
Heroes,Terminal,Heroes-Calle 85-Virrey-Calle 100-Calle 106-Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146-Mazuren-Toberin-Portal del Norte-Calle 187-Terminal
Calle 85,Virrey,Calle 85-Virrey
Calle 85,Calle 100,Calle 85-Virrey-Calle 100
Calle 85,Calle 106,Calle 85-Virrey-Calle 100-Calle 106
Calle 85,Pepe Sierra,Calle 85-Virrey-Calle 100-Calle 106-Pepe Sierra
Calle 85,Calle 127,Calle 85-Virrey-Calle 100-Calle 106-Pepe Sierra-Calle 127
Calle 85,Prado,Calle 85-Virrey-Calle 100-Calle 106-Pepe Sierra-Calle 127-Prado
Calle 85,Alcala,Calle 85-Virrey-Calle 100-Calle 106-Pepe Sierra-Calle 127-Prado-Alcala
Calle 85,Calle 142,Calle 85-Virrey-Calle 100-Calle 106-Pepe Sierra-Calle 127-Prado-Alcala-Calle 142
Calle 85,Calle 146,Calle 85-Virrey-Calle 100-Calle 106-Pepe Sierra-Calle 127-Prado-Alcala-Calle 142-Calle 146
